BindingDB_id,Smiles,bioactivity_class,IC50_nM,Data Set
1225531,CN(C(CC1)=O)c(cc2)c1cc2-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite
1225534,CN(CCc1c2ccc(-c3ccc4nccc(C(NCC(N(CC(C5)(F)F)C5C#N)=O)=O)c4c3)c1)C2=O,Active,10001,Bsite
1225537,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/C3=CC4=CN=NC4C=C3)cc12)=O)=O,Active,10001,Bsite
1225540,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1NCCC2)=O)=O,Active,10001,Bsite
1225543,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cc(CCNC2)c2cc1)=O)=O,Active,10001,Bsite
1225547,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc4c3NCC4)cc12)=O)=O,Active,10001,Bsite
1225550,CNC(c(ccc(-c(ccc1ncc2)cc1c2C(NCC(N(CC(C1)(F)F)C1C#N)=O)=O)c1)c1F)=O,Active,10001,Bsite
1225554,C[C@H](C(N(CC(C1)(F)F)[C@@H]1C#N)=O)NC(c(ccnc1)c1-c1ccccc1)=O,Active,1001,Bsite
1225558,C[C@@H](C(N(CC(C1)(F)F)[C@@H]1C#N)=O)NC(c(ccnc1)c1-c1ccccc1)=O,Active,1001,Bsite
1244932,CC(C)(C)[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,32,Bsite
1244939,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,17,Bsite
1244946,N[C@H](C1(CC(C2)C3)CC3CC2C1)C(N1[C@@H](B(O)O)CCC1)=O,Active,31,Bsite
1244953,N[C@H](C(CC(C1)C2)(CC1C1)CC21Cl)C(N1[C@@H](B(O)O)CCC1)=O,Active,20,Bsite
1244960,CC1(CCCCC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,76,Bsite
1244967,CC[C@H](C)[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,16,Bsite
1244974,CC[C@H](C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,26,Bsite
1244981,N[C@H](C1CCCCC1)C(N1[C@@H](B(O)O)CCC1)=O,Active,10,Bsite
1244988,CC1(CCCC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,88,Bsite
1244995,CC(C)([C@H](C(N1[C@@H](B(O)O)CCC1)=O)N)F,Active,75,Bsite
1245002,C[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,43,Bsite
1245009,CN(CB(O)O)C(C(CCC(O)=O)N)=O,Active,11000,Bsite
1245016,C[C@H](C(N1[C@@H](B(O)O)CCC1)=S)N,Active,130,Bsite
1245022,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=S)N,Active,100,Bsite
1245029,CC1(C)[C@H](C(N2[C@@H](B(O)O)CCC2)=O)NC1,Active,58,Bsite
1245036,CCC(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite
1245042,NC(CC(N(CC1)CCN1C(c(cc1)ccc1F)c(cc1)ccc1F)=O)C(N(C1)Cc2c1cccc2)=O,Active,2200,Bsite
1245049,C[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,43,Bsite
1245055,N[C@H](C1(CC1)C(F)(F)F)C(N1[C@@H](B(O)O)CCC1)=O,Active,1200,Bsite
1245061,CC[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,42,Bsite
1245068,N[C@H](C(CC(C1)C2)(CC1C1)CC21O)C(N1[C@@H](B(O)O)CCC1)=O,Active,9,Bsite
1245075,CC[C@H](C)[C@H](C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O)N,Active,100001,Bsite
1245080,CC[C@@H](C)[C@H](C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O)N,Active,640,Bsite
1245088,N[C@H](CC(N(CC1)CCN1C(c(cc1)ccc1F)c(cc1)ccc1F)=O)C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O,Active,2200,Bsite
1245095,NC(C1CCCCC1)C(N(C1)Cc2c1ccc(F)c2)=O,Active,100001,Bsite
1245101,NC(CC(N)=O)C(N(C1)Cc2c1ccc(F)c2)=O,Active,100001,Bsite
1245107,CN(C)C(CC(C(N(C1)Cc2c1ccc(F)c2)=O)N)=O,Active,100001,Bsite
1245113,CC1(CCCCC1)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite
1245120,CC(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite
1245126,CC(C)(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite
1245133,O=C(C1NCCCC1)N(C1)Cc2c1ccc(F)c2,Active,100001,Bsite
1245139,NCCCCC(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite
1245145,NC(C1CCCC1)C(N(C1)Cc2c1ccc(F)c2)=O,Active,100001,Bsite
1245152,NC1(CCNCC1)C(N(C1)Cc2c1ccc(F)c2)=O,Active,41070,Bsite
1245158,NC1(CCNCC1)C(N(C1)Cc2c1cccc2)=O,Active,100001,Bsite
1245164,NC1(CCNCC1)C(N1CSCC1)=O,Active,100001,Bsite
1245170,CC(C)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N(C)C,Active,100001,Bsite
1245176,CC(C)[C@H](C(N(C1)[C@@H](B(O)O)C[C@@H]1O)=O)N,Active,13000,Bsite
1245182,CC(C)[C@@H](C(N(C1)[C@H](B(O)O)C[C@@H]1O)=O)N,Active,75,Bsite
1245188,CC1(C)[C@@H](C(N2[C@H](B(O)O)CCC2)=O)NCCC1,Active,14000,Bsite
1245194,CC(C)[C@@H](C(N(CCC1)[C@@H]1C(CO)=O)=O)N,Active,100001,Bsite
1245200,CC1(C)[C@@H](C(N2[C@H](B(O)O)CCC2)=O)NCC1,Active,32,Bsite
1245207,CC1(CC1)[C@H](C(N1[C@@H](B(O)O)CCC1)=O)N,Active,350,Bsite
1245214,N[C@@H](Cc1ccccc1)C(N1[C@H](B(O)O)CCC1)=O,Active,17,Bsite
1245221,CC(C)C[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,150,Bsite
1245228,NCCCC[C@@H](C(N1[C@H](B(O)O)CCC1)=O)N,Active,82,Bsite
1245235,OB([C@H](CCC1)N1C([C@H]1NCCC1)=O)O,Active,29,Bsite
1245242,N[C@H](CCC(O)=O)C(N1[C@@H](B(O)O)CCC1)=O,Active,4.1,Bsite
1245249,CC(C)(C)[C@@H](C(N(CCC1)[C@@H]1C#N)=O)N,Active,700,Bsite
1245256,N[C@H](C(CC(C1)C2)(CC1C1)CC21F)C(N1[C@@H](B(O)O)CCC1)=O,Active,33,Bsite
