BindingDB_id,SMILES,bioactivity_class,IC50_nM,Data Set,Smiles standarization,Patente
1225492,CC(Nc1cccc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1)=O,Active,10001,Bsite,Nope,Si
1225496,CC(Nc(cccc1)c1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite,Nope,Si
1225500,CNC(c(cc1)ccc1-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1)=O,Active,10001,Bsite,Nope,Si
1225504,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=CC2=CN=NC2C=C1)=O)=O,Active,10001,Bsite,Nope,Si
1225506,CNC(c1cccc(-c2ccc3nccc(C(NCC(N(CC(C4)(F)F)C4C#N)=O)=O)c3c2)c1)=O,Active,10001,Bsite,Nope,Si
1225510,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2C1=C2C=CC=CC2N=C1)=O)=O,Active,10001,Bsite,Nope,Si
1225512,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(CN2)c1C2=O)=O)=O,Active,10001,Bsite,Nope,Si
1225516,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c3cc4cccnc4cc3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225518,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc(C2)c1NC2=O)=O)=O,Active,10001,Bsite,Nope,Si
1225520,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cc(C(NCC2)=O)c2cc1)=O)=O,Active,10001,Bsite,Nope,Si
1225523,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c(CCC(N2)=O)c2ccc1)=O)=O,Active,10001,Bsite,Nope,Si
1225527,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1c(CCNC2=O)c2ccc1)=O)=O,Active,10001,Bsite,Nope,Si
1225531,CN(C(CC1)=O)c(cc2)c1cc2-c1ccc2nccc(C(NCC(N(CC(C3)(F)F)C3C#N)=O)=O)c2c1,Active,10001,Bsite,Nope,Si
1225534,CN(CCc1c2ccc(-c3ccc4nccc(C(NCC(N(CC(C5)(F)F)C5C#N)=O)=O)c4c3)c1)C2=O,Active,10001,Bsite,Nope,Si
1225537,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/C3=CC4=CN=NC4C=C3)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225540,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c(cc1)cc2c1NCCC2)=O)=O,Active,10001,Bsite,Nope,Si
1225543,N#CC(CC(C1)(F)F)N1C(CNC(c(c1c2)ccnc1ccc2-c1cc(CCNC2)c2cc1)=O)=O,Active,10001,Bsite,Nope,Si
1225547,N#CC(CC(C1)(F)F)N1C(CNC(c1ccnc2ccc(/C=C/c(cc3)cc4c3NCC4)cc12)=O)=O,Active,10001,Bsite,Nope,Si
1225550,CNC(c(ccc(-c(ccc1ncc2)cc1c2C(NCC(N(CC(C1)(F)F)C1C#N)=O)=O)c1)c1F)=O,Active,10001,Bsite,Nope,Si
1225554,C[C@H](C(N(CC(C1)(F)F)[C@@H]1C#N)=O)NC(c(ccnc1)c1-c1ccccc1)=O,Active,1001,Bsite,Nope,Si
1225558,C[C@@H](C(N(CC(C1)(F)F)[C@@H]1C#N)=O)NC(c(ccnc1)c1-c1ccccc1)=O,Active,1001,Bsite,Nope,Si
1245036,CCC(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite,Nope,Si
1245042,NC(CC(N(CC1)CCN1C(c(cc1)ccc1F)c(cc1)ccc1F)=O)C(N(C1)Cc2c1cccc2)=O,Active,2200,Bsite,Nope,Si
1245055,N[C@H](C1(CC1)C(F)(F)F)C(N1[C@@H](B(O)O)CCC1)=O,Active,1200,Bsite,Nope,Si
1245088,N[C@H](CC(N(CC1)CCN1C(c(cc1)ccc1F)c(cc1)ccc1F)=O)C(N(C1)[C@@H](B(O)O)c2c1cccc2)=O,Active,2200,Bsite,Nope,Si
1245120,CC(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite,Nope,Si
1245126,CC(C)(C)C(C(N(C1)Cc2c1ccc(F)c2)=O)N,Active,100001,Bsite,Nope,Si
